crm_account_id,message_date,answer_date,responder_id,ticket_type
960,"Wednesday, November 13, 2019","Wednesday, November 13, 2019",46,سوال کلی تبلیغ‌کننده
18214,"Tuesday, November 12, 2019","Wednesday, November 13, 2019",46,درخواست بررسی حساب مسدود
17932,"Tuesday, November 12, 2019","Wednesday, November 13, 2019",8,گزارش مشکل در پنل تبلیغ‌کننده
19203,"Tuesday, November 12, 2019","Wednesday, November 13, 2019",46,سوال کلی تبلیغ‌کننده
11622,"Tuesday, November 12, 2019","Tuesday, November 12, 2019",9,سوال کلی تبلیغ‌کننده
19136,"Tuesday, November 12, 2019","Tuesday, November 12, 2019",9,سوال و مشکل فنی در مورد کمپین‌ها 
3042,"Tuesday, November 12, 2019","Tuesday, November 12, 2019",46,سوال کلی تبلیغ‌کننده
12813,"Tuesday, November 12, 2019","Tuesday, November 12, 2019",8,سوال و مشکل فنی در مورد کمپین‌ها 
14334,"Tuesday, November 12, 2019","Tuesday, November 12, 2019",8,سوال کلی تبلیغ‌کننده
19224,"Tuesday, November 12, 2019","Tuesday, November 12, 2019",8,سوال کلی تبلیغ‌کننده
16008,"Tuesday, November 12, 2019","Tuesday, November 12, 2019",8,سوال و مشکل فنی در مورد کمپین‌ها 
7232,"Tuesday, November 12, 2019","Tuesday, November 12, 2019",8,مالی و صدور فاکتور
10210,"Tuesday, November 12, 2019","Tuesday, November 12, 2019",46,مالی و صدور فاکتور
18771,"Tuesday, November 12, 2019","Tuesday, November 12, 2019",8,سوال کلی تبلیغ‌کننده
10991,"Monday, November 11, 2019","Tuesday, November 12, 2019",8,سوال کلی تبلیغ‌کننده
19213,"Tuesday, November 12, 2019","Tuesday, November 12, 2019",46,سوال و مشکل فنی در مورد کمپین‌ها 
10264,"Sunday, November 10, 2019","Tuesday, November 12, 2019",8,سوال کلی تبلیغ‌کننده
17816,"Monday, November 11, 2019","Tuesday, November 12, 2019",8,سوال کلی تبلیغ‌کننده
19026,"Tuesday, November 12, 2019","Tuesday, November 12, 2019",8,سوال کلی تبلیغ‌کننده
17368,"Monday, November 11, 2019","Tuesday, November 12, 2019",46,سوال کلی تبلیغ‌کننده
10991,"Monday, November 11, 2019","Monday, November 11, 2019",8,گزارش مشکل در پنل تبلیغ‌کننده
11166,"Monday, November 11, 2019","Monday, November 11, 2019",8,سوال کلی تبلیغ‌کننده
18828,"Monday, November 11, 2019","Monday, November 11, 2019",46,سوال کلی تبلیغ‌کننده
19136,"Monday, November 11, 2019","Monday, November 11, 2019",9,درخواست تایید کمپین‌ 
