crm_account_id,Transaction_date,Transaction_amount
4983,"Thursday, September 19, 2019",2888
10400,"Thursday, September 19, 2019",5666
13600,"Thursday, September 19, 2019",2888
1979,"Thursday, September 19, 2019",5111
13509,"Thursday, September 19, 2019",2888
2295,"Thursday, September 19, 2019",6252
10400,"Friday, September 20, 2019",8444
1873,"Friday, September 20, 2019",29277
9942,"Friday, September 20, 2019",2888
9942,"Friday, September 20, 2019",15388
16164,"Friday, September 20, 2019",2916
845,"Friday, September 20, 2019",4277
10444,"Friday, September 20, 2019",2888
16224,"Friday, September 20, 2019",2888
16345,"Friday, September 20, 2019",2888
8924,"Friday, September 20, 2019",2888
10299,"Friday, September 20, 2019",8444
9377,"Friday, September 20, 2019",4972
14759,"Friday, September 20, 2019",5666
6084,"Friday, September 20, 2019",4277
15023,"Friday, September 20, 2019",4972
15294,"Friday, September 20, 2019",2902
16131,"Friday, September 20, 2019",2888
16164,"Friday, September 20, 2019",2888
14071,"Friday, September 20, 2019",2888
16549,"Friday, September 20, 2019",2888
2050,"Friday, September 20, 2019",2888
5245,"Friday, September 20, 2019",2888
15178,"Friday, September 20, 2019",2888
16096,"Friday, September 20, 2019",4277
10687,"Friday, September 20, 2019",2888
13242,"Friday, September 20, 2019",4277
4380,"Saturday, September 21, 2019",11222
15377,"Saturday, September 21, 2019",4972
12296,"Saturday, September 21, 2019",4277
16426,"Saturday, September 21, 2019",14000
833,"Saturday, September 21, 2019",15388
6467,"Saturday, September 21, 2019",2888
7499,"Saturday, September 21, 2019",4972
10478,"Saturday, September 21, 2019",5666
13057,"Saturday, September 21, 2019",5666
7040,"Saturday, September 21, 2019",43166
9109,"Saturday, September 21, 2019",22333
2295,"Saturday, September 21, 2019",4277
1511,"Saturday, September 21, 2019",8444
4643,"Saturday, September 21, 2019",29277
11924,"Saturday, September 21, 2019",4277
8877,"Saturday, September 21, 2019",4277
2499,"Saturday, September 21, 2019",8444
9377,"Saturday, September 21, 2019",4972
13600,"Saturday, September 21, 2019",2888
14446,"Saturday, September 21, 2019",15388
5212,"Saturday, September 21, 2019",2888
10444,"Saturday, September 21, 2019",2888
16221,"Saturday, September 21, 2019",10875
11536,"Saturday, September 21, 2019",70944
6467,"Saturday, September 21, 2019",2888
11536,"Saturday, September 21, 2019",348722
15616,"Saturday, September 21, 2019",43166
1627,"Saturday, September 21, 2019",7750
13052,"Saturday, September 21, 2019",3583
11393,"Saturday, September 21, 2019",4277
5569,"Saturday, September 21, 2019",2888
525,"Saturday, September 21, 2019",15388
14849,"Saturday, September 21, 2019",2888
16209,"Saturday, September 21, 2019",5666
8451,"Saturday, September 21, 2019",4277
5018,"Saturday, September 21, 2019",2888
1568,"Saturday, September 21, 2019",29277
11835,"Saturday, September 21, 2019",2888
8697,"Saturday, September 21, 2019",2888
9693,"Saturday, September 21, 2019",2888
6876,"Saturday, September 21, 2019",2888
5286,"Saturday, September 21, 2019",14250
5540,"Saturday, September 21, 2019",5666
10299,"Saturday, September 21, 2019",8444
11556,"Saturday, September 21, 2019",4277
6084,"Saturday, September 21, 2019",2888
7709,"Saturday, September 21, 2019",3027
16712,"Saturday, September 21, 2019",2888
12200,"Saturday, September 21, 2019",8444
4209,"Saturday, September 21, 2019",7888
8841,"Saturday, September 21, 2019",4277
12497,"Saturday, September 21, 2019",2888
1027,"Saturday, September 21, 2019",4277
8272,"Saturday, September 21, 2019",8444
10961,"Saturday, September 21, 2019",43166
10533,"Saturday, September 21, 2019",43166
8386,"Saturday, September 21, 2019",2888
2117,"Saturday, September 21, 2019",10250
3720,"Saturday, September 21, 2019",15388
12982,"Saturday, September 21, 2019",10250
7282,"Saturday, September 21, 2019",22333
12982,"Saturday, September 21, 2019",131638
16633,"Saturday, September 21, 2019",5666
5095,"Saturday, September 21, 2019",5666
11398,"Saturday, September 21, 2019",4277
13550,"Saturday, September 21, 2019",2888
16164,"Saturday, September 21, 2019",3583
1176,"Saturday, September 21, 2019",2888
5237,"Saturday, September 21, 2019",57055
16727,"Saturday, September 21, 2019",2888
9073,"Saturday, September 21, 2019",15388
9073,"Saturday, September 21, 2019",15388
14336,"Saturday, September 21, 2019",3583
9693,"Saturday, September 21, 2019",2888
12296,"Saturday, September 21, 2019",4277
12741,"Saturday, September 21, 2019",43166
6267,"Saturday, September 21, 2019",2888
12463,"Saturday, September 21, 2019",11222
2295,"Saturday, September 21, 2019",4277
6920,"Saturday, September 21, 2019",29277
10091,"Saturday, September 21, 2019",2888
15618,"Saturday, September 21, 2019",2888
10073,"Saturday, September 21, 2019",14242
11542,"Sunday, September 22, 2019",2888
12935,"Sunday, September 22, 2019",5666
13421,"Sunday, September 22, 2019",2888
5245,"Sunday, September 22, 2019",2888
9169,"Sunday, September 22, 2019",2888
1221,"Sunday, September 22, 2019",2888
12385,"Sunday, September 22, 2019",3583
8604,"Sunday, September 22, 2019",5111
3923,"Sunday, September 22, 2019",2888
14218,"Sunday, September 22, 2019",15388
